No,Name,Type,Brand Name,Price,Currency,Link
51,Light Blue Pour Homme Eau de Toilette,Size: 4.2 oz/ 125 mL Eau de Toilette Spray,DOLCE&GABBANA,90.00,USD,https://www.sephora.com/product/light-blue-pour-homme-P186402?icid2=products grid:p186402
52,Homme Eau de Toilette,Size: 1.7 oz/ 50 mL Eau de Toilette Spray,Dior,77.00,USD,https://www.sephora.com/product/dior-homme-eau-de-toilette-P455023?icid2=products grid:p455023
53,Eros Pour Homme Eau de Parfum,Size: 3.4 oz/ 100 mL Eau de Parfum Spray,Versace,102.00,USD,https://www.sephora.com/product/versace-eros-pour-homme-eau-de-parfum-P464315?icid2=products grid:p464315
54,"Black Phantom - ""Memento Mori""",Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Kilian,240.00,USD,https://www.sephora.com/product/black-phantom-memento-mori-P429627?icid2=products grid:p429627
55,Legend Eau de Toilette,Size: 3.3 oz/ 100 mL Eau de Toilette Spray,Montblanc,92.00,USD,https://www.sephora.com/product/legend-P375713?icid2=products grid:p375713
56,Luna Rossa Sport Eau de Toilette,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Prada,94.00,USD,https://www.sephora.com/product/luna-rossa-sport-P398365?icid2=products grid:p398365
57,The One For Men Eau De Parfum,Size: 5.0 oz Eau de Parfum Spray,DOLCE&GABBANA,134.00,USD,https://www.sephora.com/product/the-one-for-men-eau-de-parfum-P406330?icid2=products grid:p406330
58,Acqua di Gio Jumbo,Size: 6.7 oz/ 198 mL,Armani Beauty,134.00,USD,https://www.sephora.com/product/acqua-for-life-P385559?icid2=products grid:p385559
59,K by Dolce & Gabbana,Size: 3.3 oz/ 100 mL Eau de Toilette Spray,DOLCE&GABBANA,94.00,USD,https://www.sephora.com/product/k-by-dolce-gabbana-P449367?icid2=products grid:p449367
60,Eros Flame,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Versace,80.00,USD,https://www.sephora.com/product/eros-flame-P442726?icid2=products grid:p442726
61,Terre d’Hermès Eau de Toilette,Size: 3.3 oz/ 98 mL Eau de Toilette Spray,HERMÈS,126.00,USD,https://www.sephora.com/product/terre-d-hermes-eau-de-toilette-P375120?icid2=products grid:p375120
62,The One For Men,Size: 5.1 oz/ 150 mL Eau de Toilette Spray,DOLCE&GABBANA,120.00,USD,https://www.sephora.com/product/the-one-for-men-P224300?icid2=products grid:p224300
63,Vanilla Woods Eau de Parfum Rollerball,Size: 0.33 oz/ 11 mL Eau de Parfum Rollerball - Vanilla Woods Eau de Parfum,The 7 Virtues,29.00,USD,https://www.sephora.com/product/vanilla-woods-eau-de-parfum-rollerball-P428714?icid2=products grid:p428714
64,Noir de Noir,Size: 1.7 oz/ 50 mL Eau de Parfum ,TOM FORD,250.00,USD,https://www.sephora.com/product/noir-de-noir-P393163?icid2=products grid:p393163
65,"Straight To Heaven, White Cristal",Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Kilian,240.00,USD,https://www.sephora.com/product/straight-to-heaven-white-cristal-P429629?icid2=products grid:p429629
66,Spicebomb Night Vision,Size: 3.04 oz/ 90mL Eau de Toilette Spray,Viktor&Rolf,110.00,USD,https://www.sephora.com/product/spicebomb-night-vision-P445721?icid2=products grid:p445721
67,ALLURE HOMME SPORT EAU EXTRÊME Eau de Parfum,Size: 1.7 oz Eau de Parfum Spray,CHANEL,98.00,USD,https://www.sephora.com/product/allure-homme-sport-eau-extreme-P377719?icid2=products grid:p377719
68,Light Blue Eau Intense Pour Homme,Size: 6.7 oz/ 200 mL Eau de Parfum Spray,DOLCE&GABBANA,125.00,USD,https://www.sephora.com/product/light-blue-intense-pour-homme-P419011?icid2=products grid:p419011
69,PLATINUM ÉGOÏSTE Eau de Toilette,Size: 1.7 oz Eau De Toilette Spray,CHANEL,80.00,USD,https://www.sephora.com/product/platinum-egoiste-P12542?icid2=products grid:p12542
70,Polo Red,Size: 2.5 oz/ 75 mL Eau de Toilette Spray,Ralph Lauren,72.00,USD,https://www.sephora.com/product/polo-red-P380994?icid2=products grid:p380994
71,Oud & Bergamot Cologne Intense,Size: 3.4 oz/ 100 mL  Spray,Jo Malone London,195.00,USD,https://www.sephora.com/product/oud-bergamot-cologne-intense-P417193?icid2=products grid:p417193
72,White Suede,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,250.00,USD,https://www.sephora.com/product/white-suede-P393137?icid2=products grid:p393137
73,Terre d’Hermès Pure Perfume,Size: 2.5 oz/ 74 mL Pure Perfume Spray,HERMÈS,140.00,USD,https://www.sephora.com/product/terre-d-hermes-pure-perfume-P416349?icid2=products grid:p416349
74,Man,Size: 3.3 oz/ 100 mL Eau De Toilette Spray,JIMMY CHOO,92.00,USD,https://www.sephora.com/product/man-P393754?icid2=products grid:p393754
