No,Name,Type,Brand Name,Price,Currency,Link
43,Light Blue Pour Homme Eau de Toilette,Size: 4.2 oz/ 125 mL Eau de Toilette Spray,DOLCE&GABBANA,90.00,USD,https://www.sephora.com/product/light-blue-pour-homme-P186402?icid2=products grid:p186402
44,Armani Code,Size: 1.7 oz/ 50 mL Eau de Toilette Spray,Armani Beauty,75.00,USD,https://www.sephora.com/product/armani-code-P96611?icid2=products grid:p96611
45,Invictus Eau de Toilette,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Paco Rabanne,94.00,USD,https://www.sephora.com/product/invictus-P389110?icid2=products grid:p389110
46,Uomo Born In Roma,Size: 1.7 oz/ 50 mL Eau de Toilette Spray,Valentino,77.00,USD,https://www.sephora.com/product/valentino-uomo-born-in-roma-P452943?icid2=products grid:p452943
47,Noir de Noir,Size: 1.7 oz/ 50 mL Eau de Parfum ,TOM FORD,250.00,USD,https://www.sephora.com/product/noir-de-noir-P393163?icid2=products grid:p393163
48,Noir Extreme,Size: 3.4 oz/ 100 mL Eau de Parfum Spray,TOM FORD,184.00,USD,https://www.sephora.com/product/noir-extreme-P395693?icid2=products grid:p395693
49,Sauvage Deodorant Stick,Not available,Dior,25.00,USD,https://www.sephora.com/product/sauvage-deodorant-stick-P408407?icid2=products grid:p408407
50,Costa Azzurra,Size: 1.7oz/ 50 mL Eau De Parfum Spray,TOM FORD,134.00,USD,https://www.sephora.com/product/tom-ford-costa-azzurra-eau-de-parfum-3-4-oz-P467979?icid2=products grid:p467979
51,Acqua di Gio Jumbo,Not available,Armani Beauty,134.00,USD,https://www.sephora.com/product/acqua-for-life-P385559?icid2=products grid:p385559
52,Legend Eau de Toilette,Size: 3.3 oz/ 100 mL Eau de Toilette Spray,Montblanc,92.00,USD,https://www.sephora.com/product/legend-P375713?icid2=products grid:p375713
53,1 Million Parfum,Size: 3.4 oz/ 100 mL Cologne Spray,Paco Rabanne,100.00,USD,https://www.sephora.com/product/paco-rabanne-1-million-parfum-P458631?icid2=products grid:p458631
54,"Black Phantom - ""Memento Mori""",Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Kilian,240.00,USD,https://www.sephora.com/product/black-phantom-memento-mori-P429627?icid2=products grid:p429627
55,’REPLICA’ At The Barber’s,Size: 3.4 oz/ 100 mL Eau De Toilette Spray,Maison Margiela,135.00,USD,https://www.sephora.com/product/at-barber-shop-P394151?icid2=products grid:p394151
56,Vanilla Woods Eau de Parfum Rollerball,Not available,The 7 Virtues,29.00,USD,https://www.sephora.com/product/vanilla-woods-eau-de-parfum-rollerball-P428714?icid2=products grid:p428714
57,White Suede,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,250.00,USD,https://www.sephora.com/product/white-suede-P393137?icid2=products grid:p393137
58,Eros Flame,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Versace,80.00,USD,https://www.sephora.com/product/eros-flame-P442726?icid2=products grid:p442726
59,Spicebomb Extreme,Not available,Viktor&Rolf,120.00,USD,https://www.sephora.com/product/spicebomb-extreme-P405501?icid2=products grid:p405501
60,Santal Blush,Size: 1.7 oz/ 50 mL Eau de Parfum ,TOM FORD,250.00,USD,https://www.sephora.com/product/santal-blush-P393159?icid2=products grid:p393159
61,K by Dolce & Gabbana,Size: 3.3 oz/ 100 mL Eau de Toilette Spray,DOLCE&GABBANA,94.00,USD,https://www.sephora.com/product/k-by-dolce-gabbana-P449367?icid2=products grid:p449367
62,Luna Rossa Black Eau de Parfum,Size: 3.4 oz/ 101 mL Eau de Parfum ,Prada,102.00,USD,https://www.sephora.com/product/luna-rossa-black-P433656?icid2=products grid:p433656
63,Homme Eau de Toilette,Size: 1.7 oz/ 50 mL Eau de Toilette Spray,Dior,77.00,USD,https://www.sephora.com/product/dior-homme-eau-de-toilette-P455023?icid2=products grid:p455023
64,The One For Men Eau De Parfum,Size: 5.0 oz Eau de Parfum Spray,DOLCE&GABBANA,134.00,USD,https://www.sephora.com/product/the-one-for-men-eau-de-parfum-P406330?icid2=products grid:p406330
65,"Straight To Heaven, White Cristal",Size: 1.7 oz/ 50 mL Eau de Parfum Spray,Kilian,240.00,USD,https://www.sephora.com/product/straight-to-heaven-white-cristal-P429629?icid2=products grid:p429629
66,ETERNITY FOR MEN,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Calvin Klein,85.00,USD,https://www.sephora.com/product/eternity-for-men-P4103?icid2=products grid:p4103
67,Reserve - Rain,Size: 3.4 oz/ 100 mL Eau de Parfum Spray,CLEAN RESERVE,98.00,USD,https://www.sephora.com/product/reserve-rain-P404358?icid2=products grid:p404358
68,The One For Men,Size: 5.1 oz/ 150 mL Eau de Toilette Spray,DOLCE&GABBANA,120.00,USD,https://www.sephora.com/product/the-one-for-men-P224300?icid2=products grid:p224300
69,Myrrh & Tonka Cologne Intense,Size: 3.4 oz/ 100 mL  Spray,Jo Malone London,195.00,USD,https://www.sephora.com/product/myrrh-tonka-cologne-intense-P417192?icid2=products grid:p417192
70,ck one,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Calvin Klein,65.00,USD,https://www.sephora.com/product/ck-one-P4095?icid2=products grid:p4095
71,Eros Pour Homme Eau de Parfum,Not available,Versace,102.00,USD,https://www.sephora.com/product/versace-eros-pour-homme-eau-de-parfum-P464315?icid2=products grid:p464315
72,Spicebomb Night Vision,Size: 3.04 oz/ 90mL Eau de Toilette Spray,Viktor&Rolf,110.00,USD,https://www.sephora.com/product/spicebomb-night-vision-P445721?icid2=products grid:p445721
73,Guilty Eau de Parfum Pour Homme,Size: 3 oz/ 90 mL Eau de Parfum Spray,Gucci,125.00,USD,https://www.sephora.com/product/gucci-guilty-eau-de-parfum-pour-homme-P457489?icid2=products grid:p457489
74,Terre d’Hermès Eau de Toilette,Size: 3.3 oz/ 98 mL Eau de Toilette Spray,HERMÈS,126.00,USD,https://www.sephora.com/product/terre-d-hermes-eau-de-toilette-P375120?icid2=products grid:p375120
75,Toy 2 & Toy Boy Mini Deluxe Duo Set,Not available,Moschino,20.00,USD,https://www.sephora.com/product/moschino-toy-2-toy-boy-mini-deluxe-duo-set-P457491?icid2=products grid:p457491
76,BLEU DE CHANEL Eau de Toilette Refillable Twist and Spray,Not available,CHANEL,85.00,USD,https://www.sephora.com/product/bleu-de-chanel-eau-de-toilette-refillable-travel-spray-P377718?icid2=products grid:p377718
77,Jasmin Rouge,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,250.00,USD,https://www.sephora.com/product/jasmin-rouge-P393141?icid2=products grid:p393141
78,Fahrenheit,Size: 1.7 oz/ 50 mL Eau de Toilette Spray,Dior,77.00,USD,https://www.sephora.com/product/fahrenheit-P4490?icid2=products grid:p4490
79,Reserve - Warm Cotton,Size: 3.4 oz/ 101 mL Eau de Parfum Spray,CLEAN RESERVE,98.00,USD,https://www.sephora.com/product/reserve-warm-cotton-P404354?icid2=products grid:p404354
80,BLEU DE CHANEL Deodorant Stick,Not available,CHANEL,25.00,USD,https://www.sephora.com/product/null-P383438?icid2=products grid:p383438
81,Reserve - Acqua Neroli,Size: 3.4 oz/ 100 mL Eau de Parfum Spray,CLEAN RESERVE,98.00,USD,https://www.sephora.com/product/reserve-acqua-neroli-P429079?icid2=products grid:p429079
82,Orange Sanguine Cologne Absolue Pure Perfume ,Size: 3.3 oz/ 100 mL Cologne Absolue Pure Perfume  Spray,Atelier Cologne,142.00,USD,https://www.sephora.com/product/orange-sanguine-cologne-absolue-P375817?icid2=products grid:p375817
83,Oud & Bergamot Cologne Intense,Size: 3.4 oz/ 100 mL  Spray,Jo Malone London,195.00,USD,https://www.sephora.com/product/oud-bergamot-cologne-intense-P417193?icid2=products grid:p417193
84,Light Blue Eau Intense Pour Homme,Size: 6.7 oz/ 200 mL Eau de Parfum Spray,DOLCE&GABBANA,125.00,USD,https://www.sephora.com/product/light-blue-intense-pour-homme-P419011?icid2=products grid:p419011
85,Terre d’Hermès Pure Perfume,Size: 2.5 oz/ 74 mL Pure Perfume Spray,HERMÈS,140.00,USD,https://www.sephora.com/product/terre-d-hermes-pure-perfume-P416349?icid2=products grid:p416349
86,Man,Size: 3.3 oz/ 100 mL Eau De Toilette Spray,JIMMY CHOO,92.00,USD,https://www.sephora.com/product/man-P393754?icid2=products grid:p393754
87,1 Million Lucky Eau de Toilette,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Paco Rabanne,94.00,USD,https://www.sephora.com/product/1-million-lucky-P431565?icid2=products grid:p431565
88,212 Men,Size: 1.7 oz Eau de Toilette Spray,Carolina Herrera,74.00,USD,https://www.sephora.com/product/212-men-P4440?icid2=products grid:p4440
89,Luna Rossa,Size: 5 oz/ 150 mL Eau de Toilette Spray,Prada,112.00,USD,https://www.sephora.com/product/luna-rossa-P378660?icid2=products grid:p378660
90,Acqua di Gio Absolu,Size: 2.5 oz/ 75 mL Eau de Parfum Spray,Armani Beauty,102.00,USD,https://www.sephora.com/product/acqua-di-gio-absolu-P430348?icid2=products grid:p430348
91,No.04 Bois de Balincourt Eau de Parfum Travel Spray,Size: 0.2 oz/ 6 mL Eau de Parfum Travel Spray,Maison Louis Marie,28.00,USD,https://www.sephora.com/product/no-04-bois-de-balincourt-eau-de-parfum-travel-spray-P443565?icid2=products grid:p443565
92,Luna Rossa Sport Eau de Toilette,Size: 3.4 oz/ 100 mL Eau de Toilette Spray,Prada,94.00,USD,https://www.sephora.com/product/luna-rossa-sport-P398365?icid2=products grid:p398365
93,Polo Black Eau de Toilette,Size: 2.5 oz Eau de Toilette Spray,Ralph Lauren,72.00,USD,https://www.sephora.com/product/polo-black-P124904?icid2=products grid:p124904
94,Mandarino Di Amalfi,Size: 1.7 oz/ 50 mL Eau de Parfum Spray,TOM FORD,250.00,USD,https://www.sephora.com/product/mandarino-di-amalfi-P392229?icid2=products grid:p392229
95,PLATINUM ÉGOÏSTE Deodorant Stick,Not available,CHANEL,25.00,USD,https://www.sephora.com/product/platinum-egoiste-deodorant-stick-P168609?icid2=products grid:p168609
96,Invictus Legend,Size: 3.4oz/100mL Eau de Parfum Spray,Paco Rabanne,100.00,USD,https://www.sephora.com/product/invictus-legend-P445811?icid2=products grid:p445811
97,1 Million Privé Eau de Parfum,Size: 3.4 oz/ 100 mL Eau de Parfum ,Paco Rabanne,100.00,USD,https://www.sephora.com/product/1-million-priv-eacute-P414306?icid2=products grid:p414306
98,Armani Code Absolu Pour Homme,Size: 2oz/60mL Parfum Spray,Armani Beauty,99.00,USD,https://www.sephora.com/product/armani-code-absolu-pour-homme-P443404?icid2=products grid:p443404
99,Marvelous CBD Massage and Body Oil,Size: 1.0oz/ 30mL  Pump,Ellis Brooklyn,65.00,USD,https://www.sephora.com/product/marvelous-massage-body-oil-P444417?icid2=products grid:p444417
100,’REPLICA’ Sailing Day Travel Spray,Not available,Maison Margiela,30.00,USD,https://www.sephora.com/product/replica-sailing-day-travel-spray-P443390?icid2=products grid:p443390
101,Scarlet Poppy Cologne Intense,Size: 3.4 oz/ 100 mL  Spray,Jo Malone London,195.00,USD,https://www.sephora.com/product/jo-malone-london-scarlet-poppy-cologne-intense-P467626?icid2=products grid:p467626
102,Mémoire d'une Odeur Eau de Parfum Rollerball,Size: 0.25 oz/ 7.4 mL Eau de Parfum Rollerball,Gucci,34.00,USD,https://www.sephora.com/product/memoire-eau-de-parfum-for-her-rollerball-P448483?icid2=products grid:p448483
103,Touch For Men,Size: 1.7 oz Eau de Toilette Spray,BURBERRY,66.00,USD,https://www.sephora.com/product/touch-for-men-P6986?icid2=products grid:p6986
104,Spicebomb Night Vision Eau de Parfum,Not available,Viktor&Rolf,120.00,USD,https://www.sephora.com/product/spicebomb-night-vision-eau-de-parfum-P461989?icid2=products grid:p461989
105,Sauvage Deodorant Spray,Not available,Dior,29.00,USD,https://www.sephora.com/product/sauvage-deodorant-spray-P400061?icid2=products grid:p400061
106,Wood Sage & Sea Salt Body & Hand Wash,Size: 8.5 oz/ 250 mL  Body & Hand Wash,Jo Malone London,44.00,USD,https://www.sephora.com/product/wood-sage-sea-salt-body-hand-wash-P417206?icid2=products grid:p417206
107,Eau Sauvage,Size: 1.7 oz/ 50 mL Eau de Toilette Spray,Dior,77.00,USD,https://www.sephora.com/product/eau-sauvage-P4489?icid2=products grid:p4489
108,Polo Red,Size: 2.5 oz/ 75 mL Eau de Toilette Spray,Ralph Lauren,72.00,USD,https://www.sephora.com/product/polo-red-P380994?icid2=products grid:p380994
109,Cannabis Santal,Size: 1 oz/ 30 mL Eau de Parfum Spray,fresh,50.00,USD,https://www.sephora.com/product/cannabis-santal-P148417?icid2=products grid:p148417
110,L’Homme Parfum Intense,Size: 3.3 oz/ 100 mL Eau de Parfum Spray,Yves Saint Laurent,110.00,USD,https://www.sephora.com/product/l-homme-parfum-intense-P383083?icid2=products grid:p383083
111,No.04 Bois de Balincourt Deodorant,Not available,Maison Louis Marie,20.00,USD,https://www.sephora.com/product/maison-louis-marie-no-04-clean-deodorant-P464785?icid2=products grid:p464785
112,ALLURE HOMME Eau de Toilette,Size: 1.7 oz Eau de Toilette ,CHANEL,75.00,USD,https://www.sephora.com/product/allure-homme-P12539?skuId=273433&icid2=products grid:p12539
113,Guilty Black Pour Homme,Size: 3 oz/ 90 mL Eau de Toilette Spray,Gucci,97.00,USD,https://www.sephora.com/product/guilty-black-pour-homme-P378659?icid2=products grid:p378659
114,EMPORIO ARMANI Stronger With You,Size: 3.4 oz/ 100 mL  ,Armani Beauty,79.00,USD,https://www.sephora.com/product/emporio-armani-stronger-with-you-P421783?icid2=products grid:p421783
115,Dark Amber & Ginger Lily Cologne Intense,Size: 3.4 oz/ 100 mL  Spray,Jo Malone London,195.00,USD,https://www.sephora.com/product/dark-amber-ginger-lily-cologne-intense-P417190?icid2=products grid:p417190
116,Polo Blue Eau de Parfum,Size: 2.5 oz/ 74 mL Eau de Parfum Spray,Ralph Lauren,79.00,USD,https://www.sephora.com/product/polo-blue-eau-de-parfum-P408252?icid2=products grid:p408252
